Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column
TOWN OF UNION,ME,UNION,0,497,380,POINT (-69.274349 44.211408)
CHATHAM FIRE PROTECTIO,IL,CHATHAM,0,906,0,POINT (-89.704527 39.676319)
LONGS PARK EMERGENCY P,TN,NASHVILLE,180354,22249,0,POINT (-86.779932 36.166687)
EMORY MEDICAL GROUP LL,GA,STONE MOUNTAIN,0,76,0,POINT (-84.172441 33.804824)
SPRINGHILL MEDICAL CEN,AR,BRADLEY,282,0,0,POINT (-93.656825 33.09809)
TOTAL CARE PHARMACY,NJ,BAYONNE,760,0,8557,POINT (-74.117183 40.669077)
SOUTHERN OCEAN COUNTY,NJ,MANAHAWKIN,0,0,88,POINT (-74.258136 39.696695)
BORREGO COMMUNITY HEAL,CA,CATHEDRAL CITY,88,230,7656,POINT (-116.464076 33.781003)
BELLEVUE HOSPITAL CENT,NY,BROOKLYN,8517021,2026088,271214,POINT (-73.990996 40.692529)
BROOKLYN COMMUNITY MED,NY,BROOKLYN,12277,0,0,POINT (-73.990996 40.692529)
JAMES B HAGGIN MEMORIA,KY,HARRODSBURG,35529,6575,0,POINT (-84.843289 37.762324)
DOCTORS CARE PA,SC,GREENWOOD,29988,9736,0,POINT (-82.159499 34.187578)
DILIPKUMAR PARIKH MD,IL,ORLAND PARK,0,9,0,POINT (-87.851282 41.623192)
RURAL METRO,NY,BUFFALO,0,2954,0,POINT (-78.879374 42.887691)
THE BOUTIQUE FOR INTEG,NJ,RIDGEWOOD,114765,1987585,550549,POINT (-74.119182 40.979666)
MIHAELA IONESCU MD PA,FL,MIDDLEBURG,0,23345,0,POINT (-81.860378 30.068851)
CAROLINA HEALTHCARE AS,NC,WILMINGTON,13198,57581,581,POINT (-77.946197 34.2367)
MERCY HEALTH PHYSICIAN,KY,PADUCAH,0,151,0,POINT (-88.633016 37.07639)
TRICOUNTY PHYSICIANS L,FL,LEESBURG,116,0,0,POINT (-81.881816 28.811191)
LUTHERAN MEDICAL GROUP,IN,FORT WAYNE,144,277,0,POINT (-85.137495 41.077474)
NASHVILLE PEDIATRIC PR,TN,ANTIOCH,0,0,7520,POINT (-86.672203 36.060001)
RACELAND EMERGENCY GRO,LA,RACELAND,34931,14144,0,POINT (-90.604174 29.730335)
ACS PRIMARY CARE PHYS,LA,ALEXANDRIA,25114,21302,0,POINT (-92.463284 31.2931)
KIDZ HEALTH PC,IL,CHICAGO,0,0,570,POINT (-87.632398 41.883229)
ETOWAH EMERGENCY PHYSI,GA,ROME,501975,145592,0,POINT (-85.180623 34.260461)
ARKANSAS HEALTH GROUP,AR,SHERWOOD,1844,1103,2240,POINT (-92.231325 34.825805)
GADSDEN REGIONAL PHYSI,AL,GADSDEN,116,77,0,POINT (-86.021173 34.011579)
ALLINA HEALTH SYSTEM,MN,FARIBAULT,72943,83813,0,POINT (-93.268448 44.294758)
UNIVERSITY OF PGH PHYS,PA,PITTSBURGH,74,0,0,POINT (-79.994945 40.442169)
BRIGHT HEALTH PHYSICIA,CA,LOS ANGELES,27,45414,0,POINT (-118.243344 34.052238)
CHOCTAW REGIONAL MEDIC,MS,ACKERMAN,5329,927,0,POINT (-89.176754 33.31151)
PHYSICIANS CLINIC INC,NE,OMAHA,7543,1609,0,POINT (-95.937195 41.258652)
REBOUND REHAB,AL,DAPHNE,0,4233,0,POINT (-87.903605 30.603526)
METHODIST ASSOCIATES I,PA,PHILADELPHIA,0,605,0,POINT (-75.16562 39.951061)
TENN TOM MED LLC,MS,BURNSVILLE,1706,1044,0,POINT (-88.316817 34.835791)
SICKLERVILLE SHOPRITE,NJ,SICKLERVILLE,0,0,213,POINT (-74.969704 39.717201)
VALLEY PHYSICIAN SERVI,NJ,RIDGEWOOD,303,168487,0,POINT (-74.119182 40.979666)
SOUTHCOAST PHYSICIAN S,MA,WAREHAM,4789,5080,80,POINT (-70.727434 41.758841)
MONTROSE MEDICAL IMAGI,CO,MONTROSE,0,3790,0,POINT (-107.876806 38.478034)
MID AMERICA DIALYSIS L,OH,COLUMBUS,0,0,114,POINT (-82.996216 39.962649)
PGN LAB,FL,STUART,50000,0,0,POINT (-80.236911 27.177909)
PRIMARY HEALTH NETWORK,PA,TITUSVILLE,179,0,55341,POINT (-79.669652 41.624468)
COMMUNITY HOSPITAL ASS,AZ,PHOENIX,0,90,0,POINT (-112.072585 33.448204)
FAIRVIEW HEALTH SERVIC,MN,ANDOVER,4207,871,0,POINT (-93.306187 45.244727)
ROGUE COMMUNITY HEALTH,OR,MEDFORD,330,0,5217,POINT (-122.872185 42.326543)
ESTERBROOK PHARMACY LL,PA,READING,160,0,6907,POINT (-75.921965 40.336919)
COBORNS INC,MN,SAUK RAPIDS,0,0,5964,POINT (-94.169436 45.59133)
PLEASANT PEDIATRICS,AZ,PHOENIX,154,51,12381,POINT (-112.072585 33.448204)
MCPHERSON MEDICAL AND,MO,KENNETT,3128,1472,0,POINT (-90.05686 36.236708)
SOUTHWEST SUFFOLK,NY,PORT JEFFERSON STATIO,0,161,0,POINT (-73.665835 41.00155)
RONALD A SHOCKLEY MD P,NV,LAS VEGAS,0,6326,0,POINT (-115.140597 36.169202)
TIFT REGIONAL HEALTH S,GA,ADEL,15051,70810,0,POINT (-83.423339 31.137032)
CUMBERLAND FAMILY MEDI,KY,DANVILLE,27041,6124,1697,POINT (-84.774043 37.64591)
ST LUKES PHYSICIAN GRO,PA,ALLENTOWN,11387,4806,0,POINT (-75.469759 40.602753)
LEWIS FAMILY DRUG LLC,SD,ABERDEEN,1000,0,7490,POINT (-98.488057 45.465163)
SOMC MEDICAL CARE FOUN,OH,PORTSMOUTH,21178,5696,0,POINT (-82.985267 38.739972)
THE INSTITUTE FOR FAMI,NY,NEW YORK,513,82,0,POINT (-74.007228 40.713054)
RAPID CITY MEDICAL CEN,SD,SPEARFISH,270,0,0,POINT (-103.850382 44.482955)
MAYO CLINIC ARIZONA,AZ,CHANDLER,45,89,0,POINT (-111.840103 33.302285)
RADIOLOGY AND NUCLEAR,IL,ORLAND PARK,1691,3655,0,POINT (-87.851282 41.623192)
HOLLAND HOSPITAL,MI,DOUGLAS,0,618,0,POINT (-86.205904 42.644608)
INPATIENT CONSULTANTS,MI,FLINT,0,224,0,POINT (-83.685109 43.00992)
BUFFALO EMERGENCY ASSO,NY,KENMORE,47184,16865,0,POINT (-78.870039 42.962823)
TOP DRUGS PHARMACY INC,CA,GARDEN GROVE,600,0,2296,POINT (-117.937878 33.776069)
IMPERIAL HEALTH LLP,LA,LAKE CHARLES,0,0,4512,POINT (-93.217112 30.229289)
OKC MEDICAL STOP LLC,OK,OKLAHOMA CITY,212557,0,1394,POINT (-97.521264 35.468494)
THRIVEPOINT MEDICAL LA,NC,CHARLOTTE,107824,0,0,POINT (-80.840161 35.222936)
SERENDIPITY CARE LAB S,GA,POWDER SPRINGS,286,0,0,POINT (-84.683824 33.859549)
HEALTHY CONNECTIONS IN,AR,DE QUEEN,51,0,0,POINT (-94.341528 34.03776)
EMORY MEDICAL CARE FOU,GA,ATLANTA,0,304,0,POINT (-84.391502 33.748547)
BRIDGE TO LIFE CLINICA,NJ,SAYREVILLE,3329,15151,0,POINT (-74.360974 40.460331)
MOUNT SINAI SCHOOL OF,NY,ROCKVILLE CENTRE,0,236,0,POINT (-73.640293 40.662249)
COASTAL CHILDRENS SERV,NC,JACKSONVILLE,0,328,0,POINT (-77.422005 34.749428)
MIRIAM HOSPITAL,RI,PROVIDENCE,295680,1086818,8923,POINT (-71.412747 41.824461)
PRAMUKH KRUPA RX LLC,FL,WESLEY CHAPEL,560,0,4139,POINT (-82.351167 28.181358)
STEWARD MEDICAL GROUP,MA,NORWOOD,0,6418,0,POINT (-71.20038 42.194847)
WAMEGO HOSPITAL,KS,ALMA,58,0,0,POINT (-96.289455 39.016143)
RAI CARE CENTERS OF NO,CA,SAN FRANCISCO,0,0,40,POINT (-122.420168 37.78008)
CYNTHIA J ANNESKI,AZ,MESA,0,17153,0,POINT (-111.831498 33.41514)
DOCTORS UNITED GROUP I,FL,MIAMI,742,422,0,POINT (-80.194702 25.775084)
NOVOPHARM OF TAMPA LLC,FL,TAMPA,0,0,5016,POINT (-82.458776 27.947423)
DESERT VIEW EMERGENCY,CA,LANCASTER,64759,22404,0,POINT (-118.144521 34.697472)
DIRNE HEALTH CENTERS I,ID,RATHDRUM,3514,288,120,POINT (-116.893975 47.806361)
MOUNTAIN VIEW URGENT C,CA,FONTANA,110454,7191,0,POINT (-117.435765 34.102893)
PHARMACEUTICAL ASSOCIA,KS,SABETHA,0,0,1108,POINT (-95.779258 39.92413)
HERSHEYCARE INC,PA,HERSHEY,0,0,25789,POINT (-76.64926 40.284764)
JOHN MUIR MEDICAL CENT,CA,WALNUT CREEK,28475,100213,8459,POINT (-122.061921 37.901763)
RADIANT IMAGING INC,CA,PASADENA,10,0,0,POINT (-118.141452 34.14955)
RURAL HEALTH CARE INC,SD,MITCHELL,365,790,4220,POINT (-98.029628 43.709418)
AGAPE SENIOR PRIMARY C,SC,LEXINGTON,245,0,0,POINT (-81.238363 33.981298)
MASSACHUSETTS GENERAL,MA,NORWOOD,0,97,0,POINT (-71.20038 42.194847)
ALFIERI CARDIOLOGY PA,DE,NEWARK,400,0,3333,POINT (-75.753614 39.681656)
MOORE CARE LLC,OK,MOORE,415,154752,0,POINT (-97.488365 35.338274)
PEDEM PLLC,FL,MIAMI,15884,1527,0,POINT (-80.194702 25.775084)
REX HOSPITAL,NC,KNIGHTDALE,2847,3043,0,POINT (-78.482314 35.787895)
WARREN CLINIC INC,OK,COWETA,392,25,0,POINT (-95.649251 35.952973)
SALEM HEALTH,OR,KEIZER,0,0,240,POINT (-123.025591 45.004433)
PAUL REED ENTERPRISES,OK,ARDMORE,0,0,3191,POINT (-97.128382 34.172599)
RAMS PHARMACY INC,NJ,HOWELL,40,0,3600,POINT (-74.229719 40.15512)
REGIONAL SERVICES,MO,SPRINGFIELD,322,386,760,POINT (-93.292361 37.215521)
LABORATORY DOCTORS NET,GA,PALMETTO,1358,0,0,POINT (-84.669481 33.517711)
VIRTUAL RADIOLOGIC PRO,IL,MOUNT VERNON,133,434,0,POINT (-88.904734 38.317612)
HENNEPIN COUNTY MEDICA,MN,RICHFIELD,8490,5439,80,POINT (-93.267939 44.879904)
THE URGENCY ROOM,MN,BLOOMINGTON,7035,2665,0,POINT (-93.303856 44.826255)
VANDANA INC,FL,SANFORD,0,0,4767,POINT (-81.273111 28.800795)
COLUMBIA ST MARYS HOSP,IL,CHICAGO,1346,473,720,POINT (-87.632398 41.883229)
U OF M HEALTH CLINICS,MN,MINNEAPOLIS,1768,275,0,POINT (-93.264346 44.977479)
SUTTER BAY HOSPITALS,CA,SAN FRANCISCO,199490,274416,0,POINT (-122.420168 37.78008)
ANTHONY SILVA CHIROPRA,CA,VAN NUYS,58055,0,0,POINT (-118.448097 34.186699)
MAPLE PHARMACY,MI,WEST BLOOMFIELD,1000,0,2573,POINT (-83.360194 42.557562)
ADLERS PHARMACY LTC IN,NJ,BELLMAWR,22040,0,37025,POINT (-75.079485 39.866488)
ACCESS FAMILY HEALTH,MS,TREMONT,26603,7827,1932,POINT (-88.263383 34.236072)
PHILLIPS LANDING EMERG,AR,VAN BUREN,8414,675,0,POINT (-94.347781 35.436742)
REX HOSPITAL,NC,WILSON,75,2878,0,POINT (-77.922737 35.731888)
AMERICAN SPECIALTY LAB,CA,CHATSWORTH,2309347,0,0,POINT (-118.600304 34.257198)
BROAD AVENUE PHARMACY,LA,NEW ORLEANS,2120,0,29141,POINT (-90.074948 29.950621)
SAINT LUKES PHYSICIAN,MO,WARRENSBURG,2269,45669,0,POINT (-93.735354 38.771088)
LITTLE FALLS HOSPITAL,NY,LITTLE FALLS,7577,40169,68,POINT (-74.859615 43.043236)
DOCTORS GENERAL LABORA,IL,HICKORY HILLS,8096711,10150,0,POINT (-87.827611 41.718815)
RUSH OAK PARK PHYSICIA,IL,OAK PARK,48,22810,0,POINT (-87.794492 41.88865)
K AND S CLINICAL DIAGN,GA,ATLANTA,0,0,40,POINT (-84.391502 33.748547)
LOGAN HEALTH WHITEFISH,MT,WHITEFISH,0,58838,0,POINT (-114.338188 48.410648)
FRANKLIN MEDICAL CENTE,LA,WINNSBORO,4123,3392,0,POINT (-91.722908 32.160967)
EPIC KIDNEY CENTER PC,GA,CUMMING,0,5792,0,POINT (-84.140359 34.207048)
MONTEFIORE MEDICAL CEN,NY,BRONX,55,144,0,POINT (-73.920265 40.826153)
BEST OPTION HEALTHCARE,PR,SAN JUAN,0,18989,16988,POINT (-66.07558 18.446344)
NORTH MEMORIAL AMBULAN,MN,ELK RIVER,3289,2400,0,POINT (-93.57741 45.307777)
ALLINA HEALTH SYSTEM,MN,MINNEAPOLIS,7731,2208,0,POINT (-93.264346 44.977479)
SUNRISE PHARMACY OF KI,FL,KISSIMMEE,0,0,5000,POINT (-81.402518 28.294751)
MARRAS PHARMA CORP,NY,COHOES,0,0,3720,POINT (-73.697857 42.773015)
OLD HICKORY LANE EMERG,TN,HENDERSONVILLE,102024,29218,0,POINT (-86.624418 36.303899)
CLINICAL HEALTH CARE A,NJ,SOMERS POINT,0,441,0,POINT (-74.596285 39.312717)
SOUTHERN ALABAMA PHYSI,AL,ENTERPRISE,90081,33854,0,POINT (-85.846353 31.328419)
WHATLEY HEALTH SERVICE,AL,TUSCALOOSA,1767,764,0,POINT (-87.565564 33.210617)
CLASSEN URGENT CARE CL,OK,NORMAN,422718,81931,58223,POINT (-97.445943 35.221051)
VISTA CLINICAL DIAGNOS,FL,CLERMONT,105069,0,0,POINT (-81.732898 28.49532)
CITY OF ROYAL OAK,MI,ROYAL OAK,0,392,0,POINT (-83.144285 42.489801)
DAILY MEDICAL LLC,AL,BAILEYTON,58429,9093,0,POINT (-86.619685 34.255765)
INPATIENT SERVICES OF,CA,TEMPLETON,0,6229,0,POINT (-120.70491 35.549809)
MERCY CLINIC TRAUMA AN,MO,SAINT LOUIS,0,2657,0,POINT (-90.200309 38.630276)
PHYSICIAN COVERAGE SER,MI,GRAND BLANC,0,35,0,POINT (-83.62255 42.924785)
CONSONUS PHARMACY SERV,CA,VACAVILLE,0,0,9318,POINT (-121.995003 38.349747)
WEST GROUP PHARMACEUTI,CA,GARDEN GROVE,1760,0,12360,POINT (-117.937878 33.776069)
UNIVERSITY OF NC HOSPI,NC,CHAPEL HILL,1197587,19626917,4244,POINT (-79.055474 35.910262)
OAKWOOD HEALTHCARE INC,MI,DEARBORN,61196,828627,0,POINT (-83.17594 42.322141)
ACTION FOR EAST AFRICA,MN,MINNEAPOLIS,19300,0,0,POINT (-93.264346 44.977479)
COLORADO URGENT CARE P,CO,ENGLEWOOD,497,0,10184,POINT (-104.98891 39.649436)
FOUR SEASONS COMPASSIO,NC,FLAT ROCK,0,14286,0,POINT (-82.442347 35.272941)
WARREN CLINIC INC,OK,SAND SPRINGS,5780,2729,0,POINT (-96.10888 36.138456)
DLP CONEMAUGH PHYSICIA,PA,JOHNSTOWN,0,409,0,POINT (-78.917492 40.325942)
THE CHRIST HOSPITAL,OH,CINCINNATI,88813,319176,8114,POINT (-84.513808 39.104427)
ST ELIZABETHS HOSPITAL,IL,O FALLON,128904,491798,15,POINT (-89.910865 38.590174)
ONE SPOT PHARMACY LLC,NY,BROOKLYN,0,0,13240,POINT (-73.990996 40.692529)
SSH MIDTOWN ATLANTA,GA,ATLANTA,0,32861,0,POINT (-84.391502 33.748547)
EPILEPSY AND NEUROPHYS,NJ,HACKENSACK,0,7002,0,POINT (-74.043799 40.881341)
UNMC PHYSICIANS CORPOR,CT,FAIRFIELD,0,1663,0,POINT (-73.249812 41.143322)
SOUTHEASTERN PHYSICIAN,TN,COVINGTON,0,1931,0,POINT (-89.646278 35.564554)
LOVELAND YOUTH CLINIC,CO,LOVELAND,924,539,0,POINT (-105.070584 40.394386)
BRENT CLOWER DO,GA,ROSWELL,0,2617,0,POINT (-84.361671 34.021654)
FLORIDA CLINICAL PRACT,FL,GAINESVILLE,201500,891902,0,POINT (-82.325024 29.651958)
CENTER FOR PODIATRY,GA,AUGUSTA,0,12760,0,POINT (-81.964397 33.472494)
ARCARE,AR,DES ARC,40,919,880,POINT (-91.510378 34.977152)
MERCY AMBULANCE SERVIC,GA,SAVANNAH,0,170609,0,POINT (-81.090103 32.08059)
REID PHYSICIAN ASSOCIA,IN,CONNERSVILLE,3876,4171,0,POINT (-85.140889 39.639413)
NEWPORT CHILDRENS MEDI,CA,LAGUNA BEACH,155,0,0,POINT (-117.781731 33.545844)
BROKEN ARROW FIRE DEPA,OK,BROKEN ARROW,0,28056,0,POINT (-95.790808 36.052449)
CORKREANS THE PHARMACI,FL,LEESBURG,80,0,2553,POINT (-81.881816 28.811191)
PEERLESS HEALTH CONSUL,FL,BRANDON,0,636,0,POINT (-82.288477 27.937659)
MULTNOMAH COUNTY,OR,PORTLAND,185,744,221358,POINT (-122.681425 45.516018)
CRYSTAL COAST FAMILY P,NC,MOREHEAD CITY,85,129,0,POINT (-76.729721 34.722767)
ASSOCIATES IN PULMONAR,NJ,DENVILLE,146,177950,0,POINT (-74.4786 40.889066)
RELIAS EMERGENCY MEDIC,MS,PONTOTOC,1130,0,0,POINT (-88.999324 34.249079)
HANNIBAL REGIONAL HOSP,MO,MOBERLY,72715,11132,0,POINT (-92.433556 39.421755)
FOND DU LAC HUMAN SERV,MN,CLOQUET,24082,2301,21902,POINT (-92.46117 46.719609)
EASTSIDE HEART AND VAS,GA,SNELLVILLE,17,3439,0,POINT (-84.020116 33.85751)
ST JOHN HOSPITAL AND M,MI,SOUTHFIELD,146,654,0,POINT (-83.240756 42.477952)
PRAXIS MEDICAL GROUP,OR,LA GRANDE,6837,1737,0,POINT (-118.087985 45.324565)
KYU HYUN KIM MD INC,CA,VAN NUYS,1120,0,8360,POINT (-118.448097 34.186699)
PEDIATRIC FACULTY FOUN,IL,WINFIELD,482,143,0,POINT (-88.160903 41.861696)
EAST CAROLINA HEALTH,NC,AHOSKIE,182338,742580,0,POINT (-76.985 36.287365)
TRANSFORM KM STORES OF,IL,HOFFMAN ESTATES,80,0,960,POINT (-88.075232 42.043901)
KALPESH PATEL M D INC,CA,NORTHRIDGE,0,534,0,POINT (-118.535797 34.228298)
GIANT EAGLE INC,PA,CANONSBURG,0,0,5526,POINT (-80.187689 40.262711)
BARFIELD ENTERPRISES I,AL,GRANT,0,0,2508,POINT (-86.253316 34.528699)
BROWN AND RADIOLOGY AS,GA,AUGUSTA,0,82,0,POINT (-81.964397 33.472494)
FLORIDA CLINICAL PRACT,FL,OCALA,1537,75,0,POINT (-82.137789 29.189311)
TOP PHARMACY INC,CA,LAKEWOOD,0,0,48360,POINT (-118.133773 33.850448)
KPUC LLC,NJ,ISELIN,22306,344,0,POINT (-74.323818 40.573745)
FIRSTCHOICE FAMILY CAR,TN,BYRDSTOWN,214,304,1223,POINT (-85.136557 36.578648)
QUICK MED URGENT CARE,OH,COLUMBIANA,12810,35,0,POINT (-80.693443 40.888639)
WHITING MEDICAL CENTER,IN,WHITING,279,7992,0,POINT (-87.499121 41.679255)
INPATIENT CONSULTANTS,NC,SMITHFIELD,0,76,0,POINT (-78.341343 35.505917)
MERCY CLINIC PHYSICAL,MO,MARYLAND HEIGHTS,0,184,0,POINT (-90.46815 38.712264)
LACEY TOWNSHIP FIRST A,PA,NEW CUMBERLAND,0,513,0,POINT (-76.872313 40.231728)
KEYSTONE MEDICAL SERVI,MS,COLUMBIA,15892,2866,0,POINT (-89.83534 31.25458)
B  L HEALTH INC,NY,BROOKLYN,286964,10438,4720,POINT (-73.990996 40.692529)
CLINICAL LABORATORY SE,GA,WINDER,2368489,75317,0,POINT (-83.723091 33.990811)
HALO HANDS FOUNDATION,NC,ROCKY MOUNT,492913,47907,0,POINT (-77.800239 35.939032)
NIA RX SERVICES LLC,FL,BRANDON,0,0,23778,POINT (-82.288477 27.937659)
ARCARE,AR,CONWAY,0,71,80,POINT (-92.4367 35.091798)
MEA PRIMARY CARE PLUS,MS,CLINTON,519,146,80,POINT (-90.321758 32.341534)
ESOTERIX GENETIC LABOR,NC,BURLINGTON,8354906,80348,0,POINT (-79.433217 36.099177)
MARICOPA INTEGRATED HE,AZ,PHOENIX,0,90,0,POINT (-112.072585 33.448204)
WEGMANS FOOD MARKETS,NY,JOHNSON CITY,440,0,7264,POINT (-75.956045 42.115476)
EMBRY WOMENS HEALTH,AZ,SCOTTSDALE,24703,5864971,0,POINT (-111.926061 33.494909)
SUMMA PHYSICIANS INC,OH,BARBERTON,0,2894,0,POINT (-81.604754 41.017602)
CRESTWOOD PHYSICIANS S,AL,HUNTSVILLE,136,0,0,POINT (-86.585283 34.729538)
PRINCETON HEALTHCARE P,NJ,LAWRENCEVILLE,0,9,0,POINT (-74.731772 40.283199)
WILLIAM N BICHAI MD IN,CA,BAKERSFIELD,16339,34618,40624,POINT (-119.018911 35.373405)
SAINT FRANCIS HEALTHCA,MA,PROVINCETOWN,1199,641,0,POINT (-70.178637 42.058436)
VALLEY PEDIATRIC ASSOC,NJ,RAMSEY,212,0,0,POINT (-74.143964 41.057148)
ISLAND HOSPITALIST GRO,FL,VENICE,0,20396,0,POINT (-82.431475 27.099287)
AMERICAN FAMILY CARE,AL,MONTGOMERY,0,0,202,POINT (-86.299651 32.376547)
USHC US HEALTH CLINICS,CA,LOS ANGELES,7508,45,0,POINT (-118.243344 34.052238)
LEXINGTON HEALTH INC,SC,WEST COLUMBIA,71200,1277840,0,POINT (-81.072884 33.987965)
ACS PRIMARY CARE PHYSI,GA,GRIFFIN,483,158,0,POINT (-84.263911 33.244437)
OAKWOOD AMBULATORY LLC,MI,DETROIT,108,380,0,POINT (-83.047853 42.332916)
VALLEY VIEW HOSPITAL,CO,EAGLE,16512,4581,280,POINT (-106.823597 39.654251)
SAINT LUKES PHYSICIAN,MO,KANSAS CITY,77,94,0,POINT (-94.578559 39.099792)
ONE MEDICAL,DC,WASHINGTON,386,0,0,POINT (-77.019912 38.892062)
ST VINCENTS FIRST CARE,FL,SAINT JOHNS,295,78,0,POINT (-81.592598 30.091499)
B P PHARMACY INC,CA,BUENA PARK,160,0,5788,POINT (-117.998051 33.863144)
PINE BROOK PHARMACY,FL,BROOKSVILLE,160,0,62911,POINT (-82.387858 28.554895)
MARTIN LUTHER KING JR,NY,BRONX,4448,0,12637,POINT (-73.920265 40.826153)
AHN WESTMORELAND PRIMA,PA,TARENTUM,26,0,0,POINT (-79.755758 40.602505)
THE URGENT CARE GROUP,NJ,LITTLE EGG HARBOR TWP,23539,433,0,POINT (-74.372704 39.602798)
ST CLAIRE MEDICAL CENT,KY,OWINGSVILLE,0,810,0,POINT (-83.76405 38.14476)
TERESA PHARMA LLC,NY,BROOKLYN,0,0,1440,POINT (-73.990996 40.692529)
CLAIBORNE COUNTY NURSI,TN,TAZEWELL,171616,132366,0,POINT (-83.570342 36.461705)
MARCO A GARCIA MD PC,NY,ELMHURST,723743,1280,0,POINT (-73.878304 40.736401)
RADIOLOGY CONSULTANTS,IL,ROCKFORD,66,6701,0,POINT (-89.088377 42.266802)
WESTERN CAROLINA EMERG,NC,ALBEMARLE,194183,22463,0,POINT (-80.19954 35.352281)
SUPERIOR FAMILY MEDICA,NE,SUPERIOR,20681,22664,1280,POINT (-98.066592 40.021903)
HEALTHCARE SOLUTIONS A,OH,BRYAN,0,9493,0,POINT (-84.551024 41.474609)
STE GENEVIEVE COUNTY M,MO,SAINTE GENEVIEVE,25571,75738,0,POINT (-90.047467 37.978671)
NORTH FLORIDA PEDIATRI,FL,LAKE CITY,2849,769,280,POINT (-82.637146 30.188652)
LINCOLN B PAIN CLINIC,IL,PALATINE,0,2297,0,POINT (-88.043769 42.110415)
AE3 PHARMACY INC,NY,BROOKLYN,0,0,4634,POINT (-73.990996 40.692529)
CITY MEDICAL OF UPPER,NY,RIVERHEAD,15213866,148413,0,POINT (-72.662142 40.917006)
GRAHAM HOSPITAL ASSOCI,IL,FARMINGTON,0,50,0,POINT (-90.005783 40.697685)
HNI MEDICAL SERVICES O,FL,GREEN COVE SPRINGS,0,423,0,POINT (-81.682008 29.988416)
RADIOLOGY MEDICAL IMAG,GA,NEWNAN,16101,38636,0,POINT (-84.799617 33.37438)
TOMPKINSVILLE RX INC,NY,STATEN ISLAND,120,0,4040,POINT (-74.076203 40.643498)
NORTH WESTER MEDICAL G,IL,SYCAMORE,498,161,0,POINT (-88.68686 41.988817)
TWIN CITIES HOSPITAL,FL,NICEVILLE,192216,525670,0,POINT (-86.478152 30.518721)
SSM MEDICAL GROUP INC,MO,WENTZVILLE,605,570,360,POINT (-90.852922 38.811008)
WEST GROVE CLINIC COMP,PA,WEST GROVE,7450,10333,0,POINT (-75.827158 39.821904)
CITY OF JOLIET,IL,JOLIET,0,30713,0,POINT (-88.082979 41.524956)
CHANDLER REGIONAL MEDI,AZ,GILBERT,4190,2084,0,POINT (-111.79034 33.330732)
BEAUMONT MEDICAL GROUP,MI,SAINT CLAIR SHORES,0,3908,0,POINT (-82.888565 42.496493)
QUAPAW COUNSELING SERV,OK,QUAPAW,0,9292,0,POINT (-94.787884 36.952914)
LEGACY CLINICS,OR,LAKE OSWEGO,10538,1074,0,POINT (-122.667696 45.421092)
MILLS PHARMACY AT CORN,AL,WARRIOR,0,0,3023,POINT (-86.807943 33.81812)
JEREMY CORBETT MD PLLC,NY,LONG ISLAND CITY,107192,16065,0,POINT (-73.949203 40.744701)
ARIZONA POST ACUTE MED,AZ,PHOENIX,0,21328,0,POINT (-112.072585 33.448204)
FAWCETT MEDICAL IMAGIN,FL,PORT CHARLOTTE,225,687,0,POINT (-82.101078 26.981878)
SMI IMAGING LLC,KY,LOUISVILLE,0,98,0,POINT (-85.751569 38.256078)
SAWTOOTH EPIDEMIOLOGY,ID,NAMPA,0,930,0,POINT (-116.573581 43.585322)
RELIANCE HEALTHCARE LL,DE,NEW CASTLE,0,277,1004,POINT (-75.560876 39.660057)
VHS PHYSICIANS OF MICH,MI,DETROIT,0,1386,0,POINT (-83.047853 42.332916)
J AND G MEDICAL GROUP,FL,ORLANDO,213712,35625,0,POINT (-81.378879 28.538331)
ACADIAN AMBULANCE SERV,LA,LAFAYETTE,0,204843,0,POINT (-92.018773 30.22126)
READING EMERGENCY UNIT,MI,HILLSDALE,0,2496,0,POINT (-84.630676 41.919964)
COMMUNITY MEMORIAL FAM,NY,HAMILTON,3407,10188,0,POINT (-75.544286 42.826892)
IOWA PHYSICIANS CLINIC,IA,DES MOINES,452,61,120,POINT (-93.620309 41.588822)
EMERGENSEA,FL,DAVIE,17095568,233991,0,POINT (-80.232207 26.065087)
PARTNERSHIP HEALTH CEN,MT,MISSOULA,5493,92,33,POINT (-113.994017 46.872129)
MARY LANNING MEMORIAL,NE,GRAND ISLAND,0,200,0,POINT (-98.351412 40.920027)
WILL COUNTY COMMUNITY,IL,JOLIET,352690,6866,18387,POINT (-88.082979 41.524956)
STEWARD EMERGENCY PHYS,AZ,MESA,42893,9290,0,POINT (-111.831498 33.41514)
MISSOURI EM1 MED SERV,MO,SEDALIA,20816,5262,0,POINT (-93.236542 38.704529)
RADIOLOGY SPECIALIST O,FL,CELEBRATION,28,281,0,POINT (-81.542391 28.318536)
PROVIDENCE MEDICAL INS,CA,WEST HILLS,225,0,0,POINT (-118.627998 34.202)
WASHINGTON COUNTY REGI,GA,SANDERSVILLE,3720,0,0,POINT (-82.811053 32.981417)
CLINICA SIERRA VISTA,CA,BAKERSFIELD,105059,68374,47211,POINT (-119.018911 35.373405)
ST MATTHEWS PHARMACY P,KY,LOUISVILLE,0,0,480,POINT (-85.751569 38.256078)
